,Sourah_number,Verse_number,Sourah_Ar,Sourah_En,Verse_diac,Verse,Sahih_International,Pickthall,Yusuf_Ali (YA),Shakir,Muhammad_Sarwar (MS),Mohsin_Khan (MK),Arberry,Label
10,19,74,سورة مريم, maryam ,وَكَمۡ أَهۡلَكۡنَا قَبۡلَهُم مِّن قَرۡنٍ هُمۡ أَحۡسَنُ أَثَٰثٗا وَرِءۡيٗا,وكم اهلكنا قبلهم من قرن هم احسن اثٰثا ورءيا,And how many a generation have We destroyed before them who were better in possessions and [outward] appearance?,"How many a generation have We destroyed before them, who were more imposing in respect of gear and outward seeming!","But how many (countless) generations before them have we destroyed, who were even better in equipment and in glitter to the eye?",And how many of the generations have We destroyed before them who were better in respect of goods and outward appearance!,How many generations of greater prosperity and splendor have We destroyed before them?,"And how many a generation (past nations) have We destroyed before them, who were better in wealth, goods and outward appearance?","And how many a generation We destroyed before them, who were fairer in furnishing and outward show!",anger
11,17,94,سورة الاسراء, l-isrā ,وَمَا مَنَعَ ٱلنَّاسَ أَن يُؤۡمِنُوٓاْ إِذۡ جَآءَهُمُ ٱلۡهُدَىٰٓ إِلَّآ أَن قَالُوٓاْ أَبَعَثَ ٱللَّهُ بَشَرٗا رَّسُولٗا,وما منع الناس ان يؤمنوا اذ جاءهم الهدىٰ الا ان قالوا ابعث الله بشرا رسولا,"And what prevented the people from believing when guidance came to them except that they said, ""Has Allah sent a human messenger?""",And naught prevented mankind from believing when the guidance came unto them save that they said: Hath Allah sent a mortal as (His) messenger?,"What kept men back from belief when Guidance came to them, was nothing but this: they said, ""Has Allah sent a man (like us) to be (His) Messenger?""",And nothing prevented people from believing when the guidance came to them except that they said: What! has Allah raised up a mortal to be a messenger?,"What keeps people from belief that guidance has come to them, but they question, ""Why has God sent a mortal Messenger?""","And nothing prevented men from believing when the guidance came to them, except that they said: ""Has Allah sent a man as (His) Messenger?""","And naught prevented men from believing when the guidance came to them, but that they said, 'Has God sent forth a mortal as Messenger?'",anger
12,70,20,سورة المعارج, l-maʿārij ,إِذَا مَسَّهُ ٱلشَّرُّ جَزُوعٗا,اذا مسه الشر جزوعا,"When evil touches him, impatient,",Fretful when evil befalleth him,Fretful when evil touches him;,Being greatly grieved when evil afflicts him,"When they are afflicted, they complain,",Irritable (discontented) when evil touches him;,"when evil visits him, impatient,",fear
13,77,50,سورة المرسلات, l-mur'salāt ,فَبِأَيِّ حَدِيثِۭ بَعۡدَهُۥ يُؤۡمِنُونَ,فباي حديث بعده يؤمنون,Then in what statement after the Qur'an will they believe?,"In what statement, after this, will they believe?","Then what Message, after that, will they believe in?","In what announcement, then, after it, will they believe?",In which word other than the Quran will they believe?,Then in what statement after this (the Quran) will they believe?,In what discourse after this will they believe?,anger
14,36,57,سورة يس, yā sīn,لَهُمۡ فِيهَا فَٰكِهَةٞ وَلَهُم مَّا يَدَّعُونَ,لهم فيها فٰكهة ولهم ما يدعون,"For them therein is fruit, and for them is whatever they request [or wish]",Theirs the fruit (of their good deeds) and theirs (all) that they ask;,(Every) fruit (enjoyment) will be there for them; they shall have whatever they call for;,"They shall have fruits therein, and they shall have whatever they desire.",They will have fruits and whatever they desire.,They will have therein fruits (of all kinds) and all that they ask for.,"therein they have fruits, and they have all that they call for.",joy
15,17,23,سورة الاسراء, l-isrā ,۞وَقَضَىٰ رَبُّكَ أَلَّا تَعۡبُدُوٓاْ إِلَّآ إِيَّاهُ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَٰنًاۚ إِمَّا يَبۡلُغَنَّ عِندَكَ ٱلۡكِبَرَ أَحَدُهُمَآ أَوۡ كِلَاهُمَا فَلَا تَقُل لَّهُمَآ أُفّٖ وَلَا تَنۡهَرۡهُمَا وَقُل لَّهُمَا قَوۡلٗا كَرِيمٗا,وقضىٰ ربك الا تعبدوا الا اياه وبالوٰلدين احسٰنا اما يبلغن عندك الكبر احدهما او كلاهما فلا تقل لهما اف ولا تنهرهما وقل لهما قولا كريما,"And your Lord has decreed that you not worship except Him, and to parents, good treatment. Whether one or both of them reach old age [while] with you, say not to them [so much as], ""uff,"" and do not repel them but speak to them a noble word.","Thy Lord hath decreed, that ye worship none save Him, and (that ye show) kindness to parents. If one of them or both of them attain old age with thee, say not ""Fie"" unto them nor repulse them, but speak unto them a gracious word.","Thy Lord hath decreed that ye worship none but Him, and that ye be kind to parents. Whether one or both of them attain old age in thy life, say not to them a word of contempt, nor repel them, but address them in terms of honour.","And your Lord has commanded that you shall not serve (any) but Him, and goodness to your parents. If either or both of them reach old age with you, say not to them (so much as) ""Ugh"" nor chide them, and speak to them a generous word.","Your Lord has ordained that you must not worship anything other than Him and that you must be kind to your parents. If either or both of your parents should become advanced in age, do not express to them words which show your slightest disappointment. Never yell at them but always speak to them with kindness.","And your Lord has decreed that you worship none but Him. And that you be dutiful to your parents. If one of them or both of them attain old age in your life, say not to them a word of disrespect, nor shout at them but address them in terms of honour.","Thy Lord has decreed you shall not serve any but Him, and to be good to parents, whether one or both of them attains old age with thee; say not to them 'Fie' neither chide them, but speak unto them words respectful,",joy
16,6,23,سورة الانعام, l-anʿām ,ثُمَّ لَمۡ تَكُن فِتۡنَتُهُمۡ إِلَّآ أَن قَالُواْ وَٱللَّهِ رَبِّنَا مَا كُنَّا مُشۡرِكِينَ,ثم لم تكن فتنتهم الا ان قالوا والله ربنا ما كنا مشركين,"Then there will be no [excuse upon] examination except they will say, ""By Allah , our Lord, we were not those who associated.""","Then will they have no contention save that they will say: By Allah, our Lord, we never were idolaters.","There will then be (left) no subterfuge for them but to say: ""By Allah our Lord, we were not those who joined gods with Allah.""","Then their excuse would be nothing but that they would say: By Allah, our Lord, we were not polytheists.","Attempting to answer, they will say, ""Lord, we swear by Your Name that we were not pagans"".","There will then be (left) no Fitnah (excuses or statements or arguments) for them but to say: ""By Allah, our Lord, we were not those who joined others in worship with Allah.""","Then they shall have no proving, but to say, 'By God our Lord, we never associated other gods with Thee.'",anger
17,10,33,سورة يونس, yūnus ,كَذَٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى ٱلَّذِينَ فَسَقُوٓاْ أَنَّهُمۡ لَا يُؤۡمِنُونَ,كذٰلك حقت كلمت ربك على الذين فسقوا انهم لا يؤمنون,Thus the word of your Lord has come into effect upon those who defiantly disobeyed - that they will not believe.,Thus is the Word of thy Lord justified concerning those who do wrong: that they believe not.,Thus is the word of thy Lord proved true against those who rebel: Verily they will not believe.,Thus does the word of your Lord prove true against those who transgress that they do not believe.,The decree of your Lord that the evil-doers will not have faith has already been issued.,Thus is the Word of your Lord justified against those who rebel (disobey Allah) that they will not believe (in the Oneness of Allah and in Muhammad SAW as the Messenger of Allah).,Thus the word of thy Lord is realized against the ungodly that they believe not.,fear
18,87,12,سورة الاعلىٰ, l-aʿlā ,ٱلَّذِي يَصۡلَى ٱلنَّارَ ٱلۡكُبۡرَىٰ,الذي يصلى النار الكبرىٰ,"[He] who will [enter and] burn in the greatest Fire,",He who will be flung to the great Fire,"Who will enter the Great Fire,",Who shall enter the great fire;,and suffer the heat of the great fire,"Who will enter the great Fire and made to taste its burning,","even he who shall roast in the Great Fire,",fear
19,18,91,سورة الكهف, l-kahf ,كَذَٰلِكَۖ وَقَدۡ أَحَطۡنَا بِمَا لَدَيۡهِ خُبۡرٗا,كذٰلك وقد احطنا بما لديه خبرا,Thus. And We had encompassed [all] that he had in knowledge.,So (it was). And We knew all concerning him.,(He left them) as they were: We completely understood what was before him.,Even so! and We had a full knowledge of what he had.,This indeed was true. We knew all that he did there.,So (it was)! And We knew all about him (Dhul-Qarnain).,So; and We encompassed in knowledge what was with him.,fear
20,30,59,سورة الروم, l-rūm ,كَذَٰلِكَ يَطۡبَعُ ٱللَّهُ عَلَىٰ قُلُوبِ ٱلَّذِينَ لَا يَعۡلَمُونَ,كذٰلك يطبع الله علىٰ قلوب الذين لا يعلمون,Thus does Allah seal the hearts of those who do not know.,Thus doth Allah seal the hearts of those who know not.,Thus does Allah seal up the hearts of those who understand not.,Thus does Allah set a seal on the hearts of those who do not know.,Thus does God seal the hearts of those who do not know.,Thus does Allah seal up the hearts of those who know not [the proofs and evidence of the Oneness of Allah i.e. those who try not to understand true facts that which you (Muhammad SAW) have brought to them].,Even so God seals the hearts of those that know not.,anger
21,7,197,سورة الاعراف, l-aʿrāf ,وَٱلَّذِينَ تَدۡعُونَ مِن دُونِهِۦ لَا يَسۡتَطِيعُونَ نَصۡرَكُمۡ وَلَآ أَنفُسَهُمۡ يَنصُرُونَ,والذين تدعون من دونه لا يستطيعون نصركم ولا انفسهم ينصرون,"And those you call upon besides Him are unable to help you, nor can they help themselves.""","They on whom ye call beside Him have no power to help you, nor can they help you, nor can they help themselves.","""But those ye call upon besides Him, are unable to help you, and indeed to help themselves.""","And those whom you call upon besides Him are not able to help you, nor can they help themselves.",The idols which you (the pagans) worship besides God can neither help you nor themselves.,"""And those whom you call upon besides Him (Allah) cannot help you nor can they help themselves.""","And those on whom you call, apart from God, have no power to help you, neither they help themselves.'",sadness
22,67,4,سورة الملك, l-mulk ,ثُمَّ ٱرۡجِعِ ٱلۡبَصَرَ كَرَّتَيۡنِ يَنقَلِبۡ إِلَيۡكَ ٱلۡبَصَرُ خَاسِئٗا وَهُوَ حَسِيرٞ,ثم ارجع البصر كرتين ينقلب اليك البصر خاسئا وهو حسير,Then return [your] vision twice again. [Your] vision will return to you humbled while it is fatigued.,"Then look again and yet again, thy sight will return unto thee weakened and made dim.","Again turn thy vision a second time: (thy) vision will come back to thee dull and discomfited, in a state worn out.",Then turn back the eye again and again; your look shall come back to you confused while it is fatigued.,"Look twice (and keep on looking), your eyes will only become dull and tired.","Then look again and yet again, your sight will return to you in a state of humiliation and worn out.","Then return thy gaze again, and again, and thy gaze comes back to thee dazzled, aweary.",sadness
23,22,20,سورة الحج, l-ḥaj ,يُصۡهَرُ بِهِۦ مَا فِي بُطُونِهِمۡ وَٱلۡجُلُودُ,يصهر به ما في بطونهم والجلود,By which is melted that within their bellies and [their] skins.,"Whereby that which is in their bellies, and their skins too, will be melted;","With it will be scalded what is within their bodies, as well as (their) skins.",With it shall be melted what is in their bellies and (their) skins as well.,It will melt their skins and all that is in their bellies.,"With it will melt or vanish away what is within their bellies, as well as (their) skins.",whereby whatsoever is in their bellies and their skins shall be melted;,fear
24,37,11,سورة الصافات, l-ṣāfāt ,فَٱسۡتَفۡتِهِمۡ أَهُمۡ أَشَدُّ خَلۡقًا أَم مَّنۡ خَلَقۡنَآۚ إِنَّا خَلَقۡنَٰهُم مِّن طِينٖ لَّازِبِۭ,فاستفتهم اهم اشد خلقا ام من خلقنا انا خلقنٰهم من طين لازب,"Then inquire of them, [O Muhammad], ""Are they a stronger [or more difficult] creation or those [others] We have created?"" Indeed, We created men from sticky clay.","Then ask them (O Muhammad): Are they stronger as a creation, or those (others) whom we have created? Lo! We created them of plastic clay.","Just ask their opinion: are they the more difficult to create, or the (other) beings We have created? Them have We created out of a sticky clay!",Then ask them whether they are stronger in creation or those (others) whom We have created. Surely We created them of firm clay.,"(Muhammad), ask them, ""Have they (people) been created stronger than what We have created?"" We have created them from moist clay.","Then ask them (i.e. these polytheists, O Muhammad SAW): ""Are they stronger as creation, or those (others like the heavens and the earth and the mountains, etc.) whom We have created?"" Verily, We created them of a sticky clay.","So ask them for a pronouncement -- Are they stronger in constitution, or those We created? We created them of clinging clay.",anger
25,10,98,سورة يونس, yūnus ,فَلَوۡلَا كَانَتۡ قَرۡيَةٌ ءَامَنَتۡ فَنَفَعَهَآ إِيمَٰنُهَآ إِلَّا قَوۡمَ يُونُسَ لَمَّآ ءَامَنُواْ كَشَفۡنَا عَنۡهُمۡ عَذَابَ ٱلۡخِزۡيِ فِي ٱلۡحَيَوٰةِ ٱلدُّنۡيَا وَمَتَّعۡنَٰهُمۡ إِلَىٰ حِينٖ,فلولا كانت قرية ءامنت فنفعها ايمٰنها الا قوم يونس لما ءامنوا كشفنا عنهم عذاب الخزي في الحيوٰة الدنيا ومتعنٰهم الىٰ حين,"Then has there not been a [single] city that believed so its faith benefited it except the people of Jonah? When they believed, We removed from them the punishment of disgrace in worldly life and gave them enjoyment for a time.",If only there had been a community (of all those that were destroyed of old) that believed and profited by its belief as did the folk of Jonah! When they believed We drew off from them the torment of disgrace in the life of the world and gave them comfort for a while.,"Why was there not a single township (among those We warned), which believed,- so its faith should have profited it,- except the people of Jonah? When they believed, We removed from them the penalty of ignominy in the life of the present, and permitted them to enjoy (their life) for a while.","And wherefore was there not a town which should believe so that their belief should have profited them but the people of Yunus? When they believed, We removed from them the chastisement of disgrace in this world's life and We gave them provision till a time.","Why did no one except the people of Jonah believe (in their punishment before their death) so that they could have benefitted from their faith? When the people of Jonah believed, We saved them from a disgraceful torment in this life and provided them with the means of enjoyment for an appointed time.","Was there any town (community) that believed (after seeing the punishment), and its Faith (at that moment) saved it (from the punishment)? (The answer is none,) - except the people of Yunus (Jonah); when they believed, We removed from them the torment of disgrace in the life of the (present) world, and permitted them to enjoy for a while.","Why was there never a city that believed, and its belief profited it? -- Except the people of Jonah; when they believed, We removed from them the chastisement of degradation in this present life, and We gave unto them enjoyment for a time.",joy
26,23,67,سورة المؤمنون, l-mu'minūn ,مُسۡتَكۡبِرِينَ بِهِۦ سَٰمِرٗا تَهۡجُرُونَ,مستكبرين به سٰمرا تهجرون,"In arrogance regarding it, conversing by night, speaking evil.",In scorn thereof. Nightly did ye rave together.,"""In arrogance: talking nonsense about the (Qur'an), like one telling fables by night.""","In arrogance; talking nonsense about the Quran, and left him like one telling fables by night.",and arrogantly mocked and reviled them.,"In pride (they Quraish pagans and polytheists of Makkah used to feel proud that they are the dwellers of Makkah sanctuary Haram), talking evil about it (the Quran) by night.","waxing proud against it, talking foolish talk by night.'",anger
27,56,73,سورة الواقعة, l-wāqiʿah ,نَحۡنُ جَعَلۡنَٰهَا تَذۡكِرَةٗ وَمَتَٰعٗا لِّلۡمُقۡوِينَ,نحن جعلنٰها تذكرة ومتٰعا للمقوين,"We have made it a reminder and provision for the travelers,","We, even We, appointed it a memorial and a comfort for the dwellers in the wilderness.","We have made it a memorial (of Our handiwork), and an article of comfort and convenience for the denizens of deserts.",We have made it a reminder and an advantage for the wayfarers of the desert.,It is We who have made it as a reminder and a means of comfort for the people.,"We have made it a Reminder (for the Hell-fire, in the Hereafter); and an article of use for the travellers (and all the others, in this world).","We Ourselves made it for a reminder, and a boon to the desert-dwellers.",joy
28,99,7,سورة الزلزلة, l-zalzalah ,فَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٍ خَيۡرٗا يَرَهُۥ,فمن يعمل مثقال ذرة خيرا يره,"So whoever does an atom's weight of good will see it,","And whoso doeth good an atom's weight will see it then,","Then shall anyone who has done an atom's weight of good, see it!",So. he who has done an atom's weight of good shall see it,"Whoever has done an atom's weight of good,","So whosoever does good equal to the weight of an atom (or a small ant), shall see it.","and whoso has done an atom's weight of good shall see it,",joy
29,96,6,سورة العلق, l-ʿalaq ,كَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,كلا ان الانسٰن ليطغىٰ,"No! [But] indeed, man transgresses","Nay, but verily man is rebellious","Day, but man doth transgress all bounds,","Nay! man is most surely inordinate,","Despite this, the human being still tends to rebel","Nay! Verily, man does transgress all bounds (in disbelief and evil deed, etc.).","No indeed; surely Man waxes insolent,",sadness
30,37,65,سورة الصافات, l-ṣāfāt ,طَلۡعُهَا كَأَنَّهُۥ رُءُوسُ ٱلشَّيَٰطِينِ,طلعها كانه رءوس الشيٰطين,Its emerging fruit as if it was heads of the devils.,Its crop is as it were the heads of devils,The shoots of its fruit-stalks are like the heads of devils:,Its produce is as it were the heads of the serpents.,and its fruits are like the heads of devils.,The shoots of its fruit-stalks are like the heads of Shayatin (devils);,"its spathes are as the heads of Satans,",fear
31,76,26,سورة الانسان, l-insān ,وَمِنَ ٱلَّيۡلِ فَٱسۡجُدۡ لَهُۥ وَسَبِّحۡهُ لَيۡلٗا طَوِيلًا,ومن اليل فاسجد له وسبحه ليلا طويلا,And during the night prostrate to Him and exalt Him a long [part of the] night.,And worship Him (a portion) of the night. And glorify Him through the livelong night.,"And part of the night, prostrate thyself to Him; and glorify Him a long night through.","And during part of the night adore Him, and give glory to Him (a) long (part of the) night.",Prostrate before Him and glorify Him extensively during the night.,"And during night, prostrate yourself to Him (i.e. the offering of Maghrib and 'Isha' prayers), and glorify Him a long night through (i.e. Tahajjud prayer).",and part of the night; bow down before Him and magnify Him through the long night.,joy
32,40,15,سورة غافر, ghāfir ,رَفِيعُ ٱلدَّرَجَٰتِ ذُو ٱلۡعَرۡشِ يُلۡقِي ٱلرُّوحَ مِنۡ أَمۡرِهِۦ عَلَىٰ مَن يَشَآءُ مِنۡ عِبَادِهِۦ لِيُنذِرَ يَوۡمَ ٱلتَّلَاقِ,رفيع الدرجٰت ذو العرش يلقي الروح من امره علىٰ من يشاء من عباده لينذر يوم التلاق,"[He is] the Exalted above [all] degrees, Owner of the Throne; He places the inspiration of His command upon whom He wills of His servants to warn of the Day of Meeting.","The Exalter of Ranks, the Lord of the Throne. He causeth the Spirit of His command upon whom He will of His slaves, that He may warn of the Day of Meeting,","Raised high above ranks (or degrees), (He is) the Lord of the Throne (of Authority): by His Command doth He send the Spirit (of inspiration) to any of His servants he pleases, that it may warn (men) of the Day of Mutual Meeting,-","Possessor of the highest rank, Lord of power: He makes the inspiration to light by His command upon whom He pleases of His servants, that he may warn (men) of the day of meeting.",God is the promoter of His servants and the owner of the Throne. He sends His spirit by His command to whichever of His servants He wants to warn them of the Day of Judgment.,"(He is Allah) Owner of High Ranks and Degrees, the Owner of the Throne. He sends the Inspiration by His Command to any of His slaves He wills, that he (the person who receives inspiration) may warn (men) of the Day of Mutual Meeting (i.e. The Day of Resurrection).","Exalter of ranks is He, Possessor of the Throne, casting the Spirit of His bidding upon whomever He will of His servants, that he may warn them of the Day of Encounter,",fear
33,80,14,سورة عبس, ʿabasa ,مَّرۡفُوعَةٖ مُّطَهَّرَةِۭ,مرفوعة مطهرة,"Exalted and purified,","Exalted, purified,","Exalted (in dignity), kept pure and holy,","Exalted, purified,","exalted, purified,","Exalted (in dignity), purified,","uplifted, purified,",joy
34,51,15,سورة الذاريات, l-dhāriyāt ,إِنَّ ٱلۡمُتَّقِينَ فِي جَنَّٰتٖ وَعُيُونٍ,ان المتقين في جنٰت وعيون,"Indeed, the righteous will be among gardens and springs,","Lo! those who keep from evil will dwell amid gardens and watersprings,","As to the Righteous, they will be in the midst of Gardens and Springs,",Surely those who guard (against evil) shall be in gardens and fountains.,"The pious ones will live amidst gardens and springs,","Verily, the Muttaqun (pious - see V.2:2) will be in the midst of Gardens and Springs (in the Paradise),",Surely the godfearing shall be among gardens and fountains,joy
35,54,25,سورة القمر, l-qamar ,أَءُلۡقِيَ ٱلذِّكۡرُ عَلَيۡهِ مِنۢ بَيۡنِنَا بَلۡ هُوَ كَذَّابٌ أَشِرٞ,اءلقي الذكر عليه من بيننا بل هو كذاب اشر,"Has the message been sent down upon him from among us? Rather, he is an insolent liar.""","Hath the remembrance been given unto him alone among us? Nay, but he is a rash liar.","""Is it that the Message is sent to him, of all people amongst us? Nay, he is a liar, an insolent one!""",Has the reminder been made to light upon him from among us? Nay! he is an insolent liar!,"How is it that he has received guidance? In fact, he is the most untruthfull and arrogant person"".","""Is it that the Reminder is sent to him [Prophet Salih (Saleh) ] alone from among us? Nay, he is an insolent liar!""","Has the Reminder been cast upon him alone among us? Nay, rather he is an impudent liar.'",anger
